Epoch,Generator_Loss,Discriminator_Loss
1,4.531317516239976,0.19842421358574364
2,3.1897662231154533,0.2861632305993708
3,2.561304308458178,0.5047830040457406
4,2.126388727729,0.6492739596537181
5,1.796682229555492,0.7631733549047889
6,2.0884778985082466,0.706335200239092
7,1.8246708605081035,0.7883354610979938
8,1.5469983997883827,0.8663843723057684
9,1.5182911275800612,0.8942619728635369
10,1.5649062967630847,0.8894534593324925
11,1.6372415712520259,0.8768682498603996
12,1.3734961684578773,0.9695432119405092
13,1.4313705991199022,0.957511393119023
14,1.2230979816110403,1.037520357794853
15,1.2618237437724051,1.0338703470189434
16,1.2219785134802494,1.0467913755730016
17,1.1582898636108268,1.0808664842455118
18,1.1903902650641989,1.073440670013936
19,1.1292357185502042,1.1008839194835631
20,1.1016485469936053,1.1156161926321384
21,1.1470098523442933,1.1119430398127672
22,1.1013577535970887,1.1253266912787707
23,1.078133216036408,1.1285349045481001
24,1.1105344993854636,1.1201946146325517
25,1.0903272100094794,1.1286878078731137
26,1.056107445439296,1.1442044337293995
27,1.0433126667669332,1.1536744996301656
28,1.051883414419475,1.1539631058920676
29,1.0300034691911262,1.1604208194497805
30,1.0237061709229118,1.167900512086303
31,1.0351584469839963,1.1651014717402997
32,1.0016038575406268,1.1856340101278666
33,0.9881635920833677,1.1892184296777761
34,0.9883973780852645,1.1874583104271879
35,0.9894374396119799,1.1945058402857547
36,1.001653160939593,1.188514713412409
37,0.9879659702147502,1.1913786902864858
38,0.9839361055192154,1.1930779002622756
39,0.9838163770719378,1.195727551288442
40,0.9942717791747436,1.1909746614092194
41,0.9670955289020213,1.202318153274593
42,0.9664509024447215,1.2026035950890481
43,0.9725993524736433,1.2007890445972556
44,0.9633022222056318,1.2093681952338229
45,0.9533253776620446,1.2116017711442162
46,0.9538797746970455,1.2151517909981295
47,0.9415400456517998,1.217504376541577
48,0.9501824249972158,1.2116950273767972
49,0.9510183714981526,1.2115734740615145
50,0.9440153584932722,1.2209628750520474
51,0.9358950868598434,1.2062516018017522
52,0.947954322991849,1.1987973399507974
53,0.9545347370953956,1.1951788197448259
54,0.9546747890743874,1.1955970955301705
55,0.9524489650721235,1.19824643461689
56,0.9582471205735765,1.1946867267206025
57,0.9636750631113805,1.1917578679666336
58,0.9670350926517169,1.1920854617029364
59,0.960927087996306,1.1888955828985934
60,0.9733900868816416,1.184473861382206
61,0.9773644449105904,1.1846578898968727
62,0.9804549993101214,1.183356502417054
63,0.9830554871162626,1.1825191660095125
64,0.9877579226168488,1.1769724242976989
65,0.9938580841779201,1.175921562511021
66,0.9919362433556554,1.1757602906430453
