Epoch,Generator_Loss,Discriminator_Loss
1,3.572878680971204,1.2997477979076153
2,3.283238963204987,0.5806934663227626
3,3.0123139923932603,1.4894369779800882
4,3.2190418243408203,0.7629568473416932
5,2.770069337621027,1.2033709342382393
6,2.880393467387375,1.1448276596409934
7,2.905092161528918,1.1343343841786286
8,2.926274613458283,1.175969812943011
9,2.627617635289017,1.2125000880689036
10,2.5095145836168404,1.5161950241546243
11,2.884471682869658,1.1275212813396842
12,2.8885281669850253,1.0416777608345966
13,3.483288148228003,0.8206261445064934
14,3.0516823688331915,0.6819826096904521
15,3.0778959600292906,0.49099757841655184
16,3.2588551093120963,0.4774947056964952
17,3.458326497248241,0.693754784914912
18,3.206362174481762,0.54215642019194
19,3.113972775790156,0.6380501778758302
20,3.130027016814874,0.4653773508509811
21,3.3207317493399797,0.6389313808509282
22,3.156033535392917,0.6348104446518178
23,3.0586752015717176,0.5883336042871281
24,3.1359550271715437,0.6872153020634943
25,3.2093991466930936,0.8088762188444332
26,3.11116640421809,0.5795001916739405
27,3.04673319203513,0.5387567020192439
28,2.9175515856061662,0.4979278579050181
29,2.9608733654022217,0.48334855084516565
30,3.1620674863153573,0.5986904647885537
31,3.006654369587801,0.7961246766606156
32,3.135101264836837,0.49843235405123965
33,2.9944221730134926,0.6967362317503715
34,2.9682285493733933,0.4521686392171042
35,2.903156197800928,0.4046644434636953
36,2.920708787684538,0.4108272754416174
37,2.873946900270423,0.43249722524565093
38,2.879753336614492,0.40478943501199993
39,2.944320325948754,0.4217909744807652
40,2.9344853235750783,0.4095509630076739
41,2.947585412434169,0.41048918390760614
42,3.1746635193727455,0.5232028012373009
43,3.0230235250628725,0.7641388621865487
44,2.9761223063176994,0.7408885323271459
45,2.8924256903784618,0.5444669662689676
46,3.0134959610141054,0.47260099102039727
47,2.87094953108807,0.4018106290272304
48,2.849033000517865,0.4010197824361373
49,2.8612024443490163,0.40151746662295595
50,2.865379975766552,0.39999108290185736
51,2.8540440676163654,0.40058252519490767
52,2.861912522997175,0.3994473602090563
53,2.8601678050294215,0.40012589766054735
54,2.857908088333753,0.3991296887397766
55,2.8955505478138828,0.4002231055376481
56,2.8605617114475796,0.3996078749092258
57,2.8669694540451984,0.39886558968193675
58,2.8553287496372146,0.3992596633580266
59,2.8537127728364906,0.39928913055634013
60,2.8509791919163296,0.39964285614539163
61,2.850911704861388,0.40015205376002255
62,2.8481617314474925,0.39998155589006384
63,2.8521386798547237,0.3995645587541619
64,2.86027455329895,0.39895076897679543
65,2.854276588984898,0.3993782090897463
66,2.861773155173477,0.3987035854738586
67,3.0805051959290797,0.41143831610679626
68,2.9224246570042203,0.4041389208667132
69,2.936066836726909,0.4153760379674483
70,3.050845107253717,0.4307330335889544
71,2.9501526647684524,0.41403603249666643
72,2.9504026661113816,0.4234642745280752
73,2.9911525833363437,0.4853113749805762
74,3.020583298741555,0.461591328893389
75,3.021432574914426,0.6090047943348788
76,2.9348491211326753,0.44385613470661395
77,2.9943432126726424,0.4484126975341719
78,2.8836482690305125,0.4006454786475824
79,2.874982867922102,0.3996176792650807
80,2.8667479047969895,0.39930711777842776
81,2.8945669543986416,0.4057771411477303
82,2.923002598237018,0.4074924442232872
83,2.967332348531606,0.4927904222692762
84,2.7407315963385055,0.6614660645017818
85,3.043609468304381,0.4360383152961731
86,2.9934831979323406,0.4740047412259238
87,2.962485678341924,0.411127218786551
88,2.9148214106657067,0.40960472274799736
89,2.9111367780335096,0.4215050187646126
90,2.926690948252775,0.44916046578056956
91,2.9624589754610646,0.5945052516703703
92,2.9554778167179654,0.4296778428311251
93,2.8852311032158986,0.6496865664209638
94,2.9845443647734973,0.4470738391486966
95,2.9954816759849083,0.4529204113142831
96,2.969427687781198,0.4864011072382635
97,2.8991807674875063,0.5503246547008047
98,2.7491483834325052,0.6573437044815141
99,2.854567520472468,0.5863781461910326
100,2.5003315015714995,0.8785915788339109
101,2.589015860946811,0.6402405579479373
102,2.86219145083914,0.6083931837763105
103,2.8068292140960693,0.5459576176137341
104,2.807045605717873,0.4632616103911886
105,2.807706360914269,0.4715047788863279
106,2.877096312386649,0.5059269691000179
107,2.7626727843771177,0.548427693697871
108,2.764426357892095,0.5564796024439286
109,2.7363822362860857,0.5171515491543984
110,2.7299693603904878,0.5653408273142211
111,2.643008436475481,0.6444618026820981
112,2.5441083981066335,0.6200537347063726
113,2.4783221093975767,0.5717298485794846
114,2.3809764044625417,0.6593921549466192
115,2.3787567323567917,0.6409443008656405
116,1.9542575904301234,0.887611701780436
117,1.5839094799392077,0.9685348333144674
118,1.8473207804621483,0.7384563514164516
119,1.9179310214762786,0.7734351413590568
120,1.742377765324651,0.8627162940648138
